               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12192,            0.065089,            0.067454,          0.00054152,              0.0125,          0.00027349,          2.7349e-05,             0.12709,            0.057811,            0.066134,              0.0003,              0.0003,              0.0973
                   1,             0.11858,            0.064878,            0.067679,           0.0012645,            0.031074,          0.00094604,           0.0002109,             0.12085,            0.063887,            0.065439,          0.00069769,          0.00069769,            0.093698
                   2,             0.11818,              0.0786,            0.067056,           0.0017023,                0.01,          0.00029232,          8.7697e-05,             0.11354,            0.070204,            0.064438,           0.0010927,           0.0010927,            0.090093
                   3,             0.11272,            0.061982,            0.065368,           0.0024881,            0.018182,           0.0011123,          0.00021189,             0.10665,             0.07542,            0.063168,           0.0014851,           0.0014851,            0.086485
                   4,             0.11067,            0.074343,            0.064667,           0.0037067,             0.08984,           0.0036526,          0.00070813,             0.10328,            0.077191,            0.062136,           0.0018749,           0.0018749,            0.082875
                   5,             0.10571,            0.083909,             0.06398,             0.19001,            0.026738,           0.0077298,           0.0016511,             0.10022,            0.077894,            0.060558,           0.0022621,           0.0022621,            0.079262
                   6,             0.10257,            0.081101,            0.061997,             0.65007,            0.042781,            0.013001,           0.0024496,            0.096804,            0.078651,            0.058715,           0.0026465,           0.0026465,            0.075647
                   7,            0.099882,            0.087365,            0.060703,             0.19953,             0.11495,            0.012008,           0.0026598,            0.094312,            0.078092,            0.056653,           0.0030284,           0.0030284,            0.072028
                   8,             0.09299,            0.085049,            0.058635,             0.59565,            0.066463,            0.014017,           0.0034908,             0.09149,            0.078927,            0.054727,           0.0034076,           0.0034076,            0.068408
                   9,            0.091205,            0.085989,             0.05563,             0.72872,            0.090476,            0.034785,           0.0072281,            0.088372,            0.088886,            0.052838,           0.0037842,           0.0037842,            0.064784
                  10,            0.085753,            0.077492,            0.051881,             0.80379,                 0.2,             0.11204,            0.033971,            0.082408,              0.1136,            0.051124,           0.0041581,           0.0041581,            0.061158
                  11,            0.083283,            0.084263,            0.050245,             0.81242,               0.025,            0.038446,            0.010207,            0.085448,             0.15984,            0.049841,           0.0045294,           0.0045294,            0.057529
                  12,            0.079517,             0.06594,            0.046089,             0.77625,                 0.1,             0.03609,            0.010995,            0.092801,             0.16525,            0.048882,            0.004898,            0.004898,            0.053898
                  13,            0.085244,            0.067698,            0.043682,             0.71516,             0.23333,             0.21376,            0.046464,            0.092715,             0.14262,            0.047502,            0.005264,            0.005264,            0.050264
                  14,            0.083605,            0.078831,            0.041294,             0.93316,            0.044444,            0.033452,            0.017108,             0.11228,             0.11326,            0.044834,           0.0056274,           0.0056274,            0.046627
                  15,            0.095719,            0.063648,            0.042155,             0.78856,             0.11278,            0.087729,            0.025149,            0.097287,            0.081644,            0.042721,           0.0059881,           0.0059881,            0.042988
